,t,vx,vy,Vx,Vy,Vr,oz_deg,oz_rad,delta_deg,delta_rad,turn_rX,turn_rY,turn_rR,au,av,ax,ay,ar,Ax,Ay,Ar,alphaz,alphaz_deg,beta_deg,beta_rad,lf_fx,lf_fy,rf_fx,rf_fy,rr_fx,rr_fy,lr_fx,lr_fy,lf_alpha,rf_alpha,rr_alpha,lr_alpha,lf_lock,rf_lock,rr_lock,lr_lock,lf_fz,rf_fz,rr_fz,lr_fz,theta_rad,theta_deg,Fx,Fy,Mz,Dx,Dy
39,3.9,16.95877495137902,-4.611230437825884,21.898653204162766,26.5714198591562,34.432417363405506,32.24687306525299,0.562814108461341,21.818181818181817,0.3807991095260355,47.21171601721026,38.90921154061112,61.17902313703393,-2.925452833401691,12.715033150960513,-5.698069244424158,2.7208589092107207,6.314353990558642,-13.045822456586146,0.19198630606219957,13.047235044655354,-0.0798119601336816,-4.572888470326338,50.50659329257775,0.8815063469211655,-171.2184088904992,427.6829094118821,-101.33930850717383,253.13335511635725,0.0,196.33152518562434,0.0,307.48262807748847,0.4679527437153482,0.4856223281319535,0.5282791477819566,0.4513173328368577,0.0,0.0,0.0,0.0,1134.8144928746844,649.0739733182669,432.78856912543574,783.3229646816133,1.3299383592392733,76.19985499696386,,,,106.10934789587012,32.17100491793213
40,4.0,16.40050087256529,-4.323280176158479,21.608773223288896,27.83631072315394,35.239172449016195,31.738634534752794,0.5539436727186149,21.818181818181817,0.3807991095260355,50.251157462527544,39.008972008360566,63.61508251564872,-2.87214678407568,12.58278412899428,-5.467412331850454,3.038146324137376,6.2548325871553,-12.89640630783309,-0.5083187281908232,12.906420246766594,-0.09759675472083928,-5.591882139677584,52.178522871685594,0.9106870229380802,-168.01167020540154,419.6728634159325,-99.57964508115246,248.73792837163262,0.0,197.219166437188,0.0,306.6791221163287,0.4592611734989044,0.4755645366498127,0.5291295823096674,0.45051596905186975,0.0,0.0,0.0,0.0,1133.0896506104702,650.2273729520559,434.1128313316803,782.5701451057937,1.3857762482982712,79.39913037696417,,,,108.2847192172427,34.89139144704764
41,4.1,15.867086320606933,-4.0060671819498666,21.324864633667918,29.08500329199408,36.06504218962689,31.131983032721,0.543355606595991,21.818181818181817,0.3807991095260355,53.52848657291958,39.246608252123735,66.3746573180073,-2.806025008343856,12.391067247808538,-5.200878707316664,3.3061135600348734,6.16275313476585,-12.650449020541139,-1.1740798379387656,12.70481498830914,-0.11416456773163816,-6.541147900958293,53.75146325081785,0.938140011491506,-163.96788571352852,409.571978074655,-97.46301568496735,243.45084373994385,0.0,197.44087059937456,0.0,303.9835666986233,0.44861748136688917,0.4630054973847772,0.5268581790650537,0.44715138936440135,0.0,0.0,0.0,0.0,1130.206789368985,652.3667608236129,436.29671975846367,781.1297300489384,1.4406412122640015,82.54266125533786,,,,110.43140111009053,37.73745714780503
42,4.2,15.361853590779345,-3.6649260528231373,21.048210541974605,30.31146562114171,36.9027385856517,30.434723135343404,0.5311861256446342,21.818181818181817,0.3807991095260355,57.06373746934086,39.62492528665169,69.47233145607382,-2.7270568255224235,12.138179335144038,-4.903775889235085,3.5167090224997057,6.034422948449519,-12.310966283658743,-1.7923017782627642,12.440749032986167,-0.12922505129549905,-7.4040500465936665,55.22397743058911,0.9638402322108182,-159.0958875341656,397.40231495547533,-94.9777297505322,237.24289959394127,0.0,196.926981188968,0.0,299.31407772224003,0.4360537384994328,0.4479726929751215,0.5212754388824712,0.44110669779795864,0.0,0.0,0.0,0.0,1126.1053892136638,655.5459433310212,439.38484294526074,778.9638245100543,1.4943682988760327,85.62099656374109,,,,112.55005486887268,40.70728059346184
43,4.3,14.88754095114566,-3.305890692622005,20.78007174906521,31.50957467155537,37.744730465041364,29.656607741234303,0.5176054500569771,21.818181818181817,0.3807991095260355,60.87566247242345,40.146547426766425,72.92181807762358,-2.6357190326654303,11.82400167312913,-4.582476903438635,3.6639981815229383,5.867195006538639,-11.883820549042726,-2.35134845215785,12.114207790248411,-0.1423884604576414,-8.158257835588262,56.59577316216358,0.9877825843915972,-153.43927729291667,383.27278565390594,-92.12460773802401,230.11614534406982,0.0,195.59523797470163,0.0,292.6308937412168,0.42168024422745165,0.43060516169769897,0.5122493197427428,0.4323164238536104,0.0,0.0,0.0,0.0,1120.7528966098287,659.7970460974616,443.40075268828434,776.0493046044256,1.5468078776611134,88.62556310756997,,,,114.64146898342466,43.79833260809668
44,4.4,14.446208057399254,-2.935469887741574,20.521634100847155,32.67328926772908,38.583432943969015,28.80984005946799,0.5028265660106753,21.818181818181817,0.3807991095260355,64.97924230008843,40.81254947140456,76.73308363573985,-2.5330339316956896,11.450290250345104,-4.244180971489474,3.744417916085677,5.659835478974344,-11.377639068447225,-2.841608161660091,11.72712273817708,-0.1531892204683944,-8.777095799738083,57.86764724000384,1.0099809747206763,-147.07746842574633,367.38175534317696,-88.91948173223714,222.11012762629466,0.0,193.35668725115684,0.0,283.9486580723936,0.4056859357173986,0.4111572921942602,0.4997301024167732,0.4207828255954728,0.0,0.0,0.0,0.0,1114.1503823667929,665.1256483264619,448.3427507212946,772.3812185854508,1.597829478464496,91.54888549760507,,,,116.70655427592028,47.00747580506092
45,4.5,14.039168830417344,-2.5603993007227484,20.273953838018976,33.79685033092977,39.4114234266842,27.90937753968409,0.48711053024964174,21.818181818181817,0.3807991095260355,69.38230284943553,41.62084902502246,80.90858435453252,-2.4205713248679017,11.020931013668648,-3.89660356814874,3.7569938242908316,5.412810911446006,-10.803607271597388,-3.256095187168866,11.283620250026859,-0.1611314947522772,-9.232154595939857,59.04142483392847,1.030467258420798,-140.12415889401785,350.0132278008326,-85.39490864025866,213.30616966301145,0.0,190.12614734938776,0.0,273.3492701248408,0.38833339171798636,0.3899927118228486,0.48377821452714764,0.40659332617378025,0.0,0.0,0.0,0.0,1106.3383180876172,671.5055367264525,454.1796463286276,767.9764988573031,1.6473263332775119,94.38484637756268,,,,118.74633367286359,50.33098278499385
46,4.6,13.666958795526233,-2.1873759297412048,20.0379052883432,34.87500191004265,40.22167831617784,26.972909179309834,0.47076607402035814,21.818181818181817,0.3807991095260355,74.08138316384814,42.56446331660821,85.43877848436136,-2.300399668647616,10.542100568588873,-3.547597129673486,3.7034735953400384,5.128465858894687,-10.17511652321707,-3.5909228302361003,10.790167887190444,-0.16575762983339504,-9.497212611545319,60.11989446170066,1.0492901043081804,-132.7225900080796,331.52500252258574,-81.60036048703985,203.8278465984046,0.0,185.83732098535708,0.0,260.99311268143566,0.36994746053127475,0.3675660711215793,0.4645909763183795,0.3899364803236174,0.0,0.0,0.0,0.0,1097.4014367683615,678.8738727427577,460.8472448228309,762.8774456660501,1.6952201634910118,97.12896071351238,,,,120.76192662918169,53.76457539704246
47,4.7,13.32934283369271,-1.8227858267268169,19.814136318503515,35.90322038851787,41.00781916067624,26.020393548370414,0.45414154008375407,21.818181818181817,0.3807991095260355,79.05733613775234,43.62986991863668,90.29744152695977,-2.1749797281460803,10.022269000915603,-3.204722106996978,3.5883284649477165,4.811064846313047,-9.507256076859248,-3.8455811828101005,10.255555213861424,-0.1667330488986863,-9.553100007243103,61.1067350724513,1.0665137221581709,-125.03749672810993,312.32856754589375,-77.6003661426429,193.83634375751063,0.0,180.46126538465867,0.0,247.1255935835769,0.35089765124153033,0.3443929670032417,0.44252213582274774,0.3711127310213022,0.0,0.0,0.0,0.0,1087.4714435167637,687.1278005693323,468.2464861717965,757.1542697421078,1.7414655441962175,99.7786258498964,,,,122.75452870952404,57.303486511970505
48,4.8,13.025366244723934,-1.4724403546879672,19.60303698660691,36.87793330149499,41.764351110579845,25.073107617344924,0.4376082816295394,21.818181818181817,0.3807991095260355,84.27156169022021,44.79585467078068,95.43775304036811,-2.0470069097859946,9.471989258626833,-2.87480967237855,3.4185809758292747,4.466679587870962,-8.816153813109358,-4.022965292896651,9.690656211230161,-0.16393212018560682,-9.39261861326664,62.00642954558944,1.082216352976427,-117.24437999714452,292.8623030333128,-73.47054948602263,183.52056045776868,0.0,174.0250854750013,0.0,232.0755223345536,0.3315757585895627,0.3210113362456806,0.41808678325724646,0.35053552815405314,0.0,0.0,0.0,0.0,1076.7263275157468,696.1236519559229,476.24414794876486,750.9058725795657,1.7860530352818822,102.33330090818217,,,,124.72538737477956,60.94254419647113
49,4.9,12.413217960561617,-1.1413397130694676,19.06449644524507,37.79670476425082,42.33256330234094,22.757460639235276,0.397192617547669,21.818181818181817,0.3807991095260355,95.15963563878339,47.998113768962604,106.5794313190134,-8.723803917450782,8.903439996489764,-9.368156010867773,3.2034318565407167,9.900723342436041,-6.393639416096361,-10.700344554179658,12.464990917013269,-0.6443811614518016,-36.920320948926324,63.233817931466156,1.1036383215107144,-109.51741092397477,273.561267382045,-69.29210336137639,173.08330661929622,0.0,166.6260666874105,-633.9672482100632,216.24240246246853,0.31237133400873673,0.2979402792701521,0.3919449967591905,0.3287187866110024,0.0,0.0,0.0,1.0,1065.3852633238778,705.6798458801893,484.67683085642955,744.2580599395036,1.8277930802407427,104.72482932101119,,,,126.65876404637217,64.67627609975844
50,5.0,11.506892598830753,-0.8103576620118742,18.213055273592314,38.659209149003125,42.73464442844114,19.52922713667264,0.34084931390476225,21.818181818181817,0.3807991095260355,113.42023460785083,53.43433162573793,125.37694132012177,-8.305019515604352,8.346647698556355,-8.75835122374952,3.416209164611149,9.40102128573954,-5.582909078464214,-10.3668222315224,11.774543598729643,-0.4824849114063328,-27.644349102326302,64.77402403956796,1.1305199892564188,-109.20770003987712,272.7876469936432,-71.78452665329453,179.30907902239812,0.0,140.70957920071518,-592.7673555059914,184.83167912079205,0.3010188902318871,0.2850975027068079,0.35823412371381913,0.3022575012385378,0.0,0.0,0.0,1.0,1101.1512498152485,763.0368882828675,445.9059035938974,689.9059583079868,1.8646951768133644,106.83916370980658,,,,128.52264163231402,68.49907179542112
51,5.1,10.960948172143752,-0.44328595357465805,17.703587924968282,39.46890860651197,43.257505383531736,18.213848144965286,0.3178916195879057,21.818181818181817,0.3807991095260355,124.1583803236994,55.690640564598965,136.0762685081412,-1.8843274568762873,7.847341451620422,-2.160537309990502,3.9252250041331735,4.480548270126466,-6.826966416328609,-4.303950205727208,8.07040629851174,0.02333102506920169,1.3367692681791765,65.84161148780782,1.1491529052811686,-105.08015673229906,262.47754224528353,-70.47830198288298,176.04628753281906,0.0,128.02484893282877,0.0,164.57009007357988,0.29300080845856824,0.27691723853536887,0.31691834688640574,0.27013946468146416,0.0,0.0,0.0,0.0,1087.6585137022532,770.688729141933,456.4558377571729,685.1969193986411,1.8976322234879979,108.72631747388849,,,,130.31847379224203,72.40547768319686
52,5.2,10.764158985565448,-0.06571543664015306,17.527655075531808,40.21680462415393,43.87037800867671,18.166146223470136,0.3170590639982875,21.818181818181817,0.3807991095260355,126.84325789964217,55.28198706732598,138.36657894414796,-1.6343295318531699,7.110578901218798,-1.775246421575587,3.626185334556926,4.037415006891496,-6.084744983873506,-4.025822128506368,7.295982821330196,-0.039982136861566035,-2.290807698082169,66.45102503854464,1.1597891782477958,-91.73899557120227,229.15293271711207,-60.52773099896885,151.19096282628283,0.0,127.12547741898273,0.0,155.00692218223088,0.2686140022296508,0.24861440484898958,0.2817240995557052,0.24048387161501159,0.0,0.0,0.0,0.0,1033.402228519437,735.3939479349319,508.0731507371695,723.1306728084619,1.9293797576673075,110.54531719231026,,,,132.08003594226705,76.38976334473018
